"id","id_veh","fecha_ing","costo_mo","kilometraje","pre_repu","det_repar","des_repu"
"2","1","2012-06-21","1500","116852","890","sacar tapa cil por perdida agua","junta tapa cil bulones y pipeta"
"1","2","2012-04-25","0","3000","0","nada porque es un maquinon","ninguno"
"3","3","2012-04-27","250","56","250","reemplazo de pipeta de agua","pipeta de agua"
"4","4","2012-04-30","0","158000","3000","cambio tapa de cilindros","tapa de cilindros, junta, tornillos"
"6","7","2012-05-04","250","46453","669","servicio completo","pastillas freno, filtro aire, filtro aceite, aceite, 4 bujias"
"7","8","2012-06-21","250","153289","753","servicio completo, cambio de bujias","4 bujias, filtro aire, filtro comb, filtro aceite, 5 lts aceite"
"8","9","2012-06-21","250","169714","250","diagnostico","ninguno"
"9","10","2012-06-21","700","50254","985","servicio completo, cambio correa distribucion","correa dist, ali eje, filtro aire, filtro aceite, 5 lts aceite,
 manguera aire"
"11","11","2012-05-03","200","229766","220","cambio polea cigue̱al","polea cigue̱al"
"12","12","2012-05-03","0","89717","450","cambio pastillas de freno","juego pastillas"
"13","13","2012-05-07","250","51534","423","cambio de aceite y filtros, balanceo","filtro aire, filtro aceite, 5lts aceite, balanceo 4 ruedas"
"14","14","2012-05-07","800","76512","1024","cambio de correas dist y alternador,  cambio de bomba de agua.","reten leva, tensor auto, tensor fijo, bomba de agua, correas dist y alternador, refrigerante"
"15","15","2012-05-07","400","30802","853","servicio completo, cambio cable embrague","cable embrague, filtro comb, filtro aceite, filtro aire, 5lt aceite"
"16","16","2012-05-11","250","125771","198","cambio de ruleman trasero y control general","ruleman rueda trasera"
"17","17","2012-05-11","250","143391","613","cambio de bujias, ficha electro, juego cables bujias, filtro aceite, y aceite","4 bujias, ficha electro, cables bujias, filtro aceite, 5 lts aceite"
"18","18","2012-05-11","1000","79333","2930","cambio de cadena de distribucion, faro trasero derecho","kit cadena distribucion, faro tras. der."
"19","169","2012-06-21","420","282793","80","registro de valvulas","registro valvulas"
"20","20","2012-05-11","250","124221","400","servicio completo","filtro aire, combustible, aceite, 5 lts aceite"
"22","21","2012-05-11","150","142987","98","cambio sensor aceite","sensor aceite"
"23","22","2012-08-11","450","158939","390","reparacion de motor de arranque ","plaqueta de carbones 2 bujes rec. colector"
"24","16","2012-05-15","500","125996","1562","cambio amortiguadores del, bujes susp, fuelles, alineacion","2 amort del, 2 bujes susp chi, 2 bujes susp gran, 2 fuelles"
"25","23","2012-05-18","600","56965","1207","servicio y cambio bobina de encendido y bujias.","filtro comb, filtro aire, filtro aceite, 4 lt aceite, bobina encendido, 4 bujias."
"26","24","2012-05-18","250","57671","964","servicio","filtro aceite, filtro aire, 5lt aceite, juego bujias, juego pastillas de  freno, diagnostico, balanceo"
"27","25","2012-05-18","450","20982","1540","servicio completo","filtro aire, filtro aceite, 5 lts  semisintetico, juego pastillas freno, balanceo, insignia ovalo"
