id,patente,modeloId,combustible,year,clienteId,createdAt,updatedAt
1440,hqx973,21,Nafta,2008,1108,2019-10-28,2019-10-28
1441,jmx549,75,Nafta,2009,373,2019-10-28,2019-10-28
1439,ljw107,144,Nafta,2015,301,2019-10-28,2019-10-28
1442,kac317,33,Nafta,2010,657,2019-10-28,2019-10-28
1365,paq274,119,Nafta,2014,1111,2019-10-28,2019-10-28
1444,kah722,66,Nafta,2014,1112,2019-10-28,2019-10-28
1443,lcw199,51,Diesel,2012,1110,2019-10-28,2019-10-28
1445,hdw844,43,Diesel,2007,1044,2019-10-28,2019-10-28
806,lxy914,71,Nafta,2013,215,2019-10-28,2019-10-28
1438,dud194,143,Nafta,2001,1107,2019-10-28,2019-10-28
1453,pov030,24,Nafta,2014,1119,2019-10-28,2019-10-28
1454,frd207,51,Diesel,2005,1120,2019-10-28,2019-10-28
1450,ab492pi,145,Nafta,2017,1117,2019-10-28,2019-10-28
1455,emn156,18,Nafta,2004,1121,2019-10-28,2019-10-28
1451,pph370,9,Nafta,2014,1118,2019-10-28,2019-10-28
929,mxq803,45,Diesel,2014,328,2019-10-28,2019-10-28
1452,aa248gz,146,Nafta,2015,739,2019-10-28,2019-10-28
1449,iib903,21,Nafta,2009,1116,2019-10-28,2019-10-28
1447,mpg478,29,Nafta,2012,1114,2019-10-28,2019-10-28
1448,ac384ca,114,Diesel,2017,1115,2019-10-28,2019-10-28
1446,oku984,29,Nafta,2016,384,2019-10-28,2019-10-28
1196,mnd955,29,Nafta,2013,1113,2019-10-28,2019-10-28
1410,ab034qd,13,Nafta,2016,1086,2019-10-28,2019-10-28
1435,aa946ld,26,Nafta,2016,54,2019-10-28,2019-10-28
1436,hwj693,60,Nafta,2008,1105,2019-10-28,2019-10-28
1409,fze053,34,Diesel,2005,1085,2019-10-28,2019-10-28
1406,fjj928,65,Nafta,2015,790,2019-10-28,2019-10-28
1100,kvw368,29,Nafta,2017,1083,2019-10-28,2019-10-28
1411,jpm938,26,Nafta,2010,1087,2019-10-28,2019-10-28
1412,npv730,119,Nafta,2008,1088,2019-10-28,2019-10-28
1417,mbu177,29,Nafta,2015,1092,2019-10-28,2019-10-28
1419,nga759,45,Diesel,2015,1093,2019-10-28,2019-10-28
1418,eeu766,34,Diesel,2004,1085,2019-10-28,2019-10-28
1416,mba001,27,Nafta,2011,1091,2019-10-28,2019-10-28
1427,ojj215,82,Nafta,2014,972,2019-10-28,2019-10-28
1426,ab552uu,21,Nafta,2017,568,2019-10-28,2019-10-28
1424,mrf176,67,Nafta,2014,1098,2019-10-28,2019-10-28
1414,fsq965,7,Diesel,2006,1089,2019-10-28,2019-10-28
1415,mxx911,21,Nafta,2013,1090,2019-10-28,2019-10-28
1423,ems638,26,Nafta,2004,1097,2019-10-28,2019-10-28
1431,mvn973,2,Nafta,2012,1101,2019-10-28,2019-10-28
1430,jtz449,21,Nafta,2010,674,2019-10-28,2019-10-28
934,NBE324,75,Nafta,2014,752,2019-10-28,2019-10-28
1407,njv108,25,Nafta,2014,1084,2019-10-28,2019-10-28
1408,gpd692,36,Nafta,2007,367,2019-10-28,2019-10-28
1429,iqi600,26,Nafta,2010,1100,2019-10-28,2019-10-28
1432,ac450wt,27,Nafta,2017,1102,2019-10-28,2019-10-28
1433,pgm899,114,Diesel,2016,1103,2019-10-28,2019-10-28
1421,hkq622,26,Nafta,2011,1095,2019-10-28,2019-10-28
1147,jwd869,111,Nafta,2010,624,2019-10-28,2019-10-28
1420,iul788,26,Nafta,2009,1094,2019-10-28,2019-10-28
1422,eqt786,34,Diesel,2005,1096,2019-10-28,2019-10-28
1434,lvj956,131,Nafta,2013,1104,2019-10-28,2019-10-28
1378,hyc911,6,Nafta,2009,499,2019-10-28,2019-10-28
1380,nec290,26,Nafta,2013,1063,2019-10-28,2019-10-28
1379,oka183,60,Nafta,2013,970,2019-10-28,2019-10-28
1428,eld332,18,Nafta,2004,1099,2019-10-28,2019-10-28
1437,lhh760,118,Nafta,2010,342,2019-10-28,2019-10-28
1351,llk685,29,Nafta,2013,1045,2019-10-28,2019-10-28
1381,fhy390,29,Nafta,2010,1064,2019-10-28,2019-10-28
1385,ovu816,29,Nafta,2015,1067,2019-10-28,2019-10-28
1386,ior830,27,Nafta,2009,1068,2019-10-28,2019-10-28
1387,inq162,36,Nafta,2009,715,2019-10-28,2019-10-28
1388,pms090,127,Nafta,2016,733,2019-10-28,2019-10-28
1383,fmk167,36,Nafta,2007,32,2019-10-28,2019-10-28
1401,mmi368,29,Nafta,2011,1080,2019-10-28,2019-10-28
1404,opw594,26,Nafta,2014,88,2019-10-28,2019-10-28
1384,ljw154,41,Nafta,2013,1066,2019-10-28,2019-10-28
1398,nkx499,141,Nafta,2014,206,2019-10-28,2019-10-28
1345,WGT795,136,Nafta,1974,2,2019-10-28,2019-10-28
1397,jwh699,73,Nafta,2011,1077,2019-10-28,2019-10-28
1400,hdo249,21,Nafta,2007,1079,2019-10-28,2019-10-28
1396,jrs008,21,Nafta,2010,1076,2019-10-28,2019-10-28
1390,njm884,39,Nafta,2012,1070,2019-10-28,2019-10-28
1402,opi161,29,Nafta,2012,1081,2019-10-28,2019-10-28
1395,mkb140,25,Nafta,2013,1075,2019-10-28,2019-10-28
1399,pnm407,26,Nafta,2016,1078,2019-10-28,2019-10-28
1391,nmg842,29,Nafta,2011,1071,2019-10-28,2019-10-28
1389,ise234,65,Nafta,2010,1069,2019-10-28,2019-10-28
1392,nse277,7,Nafta,2011,1072,2019-10-28,2019-10-28
1393,hfx029,26,Nafta,2013,1073,2019-10-28,2019-10-28
1403,nhq420,35,Nafta,2010,1082,2019-10-28,2019-10-28
1405,epw393,29,Nafta,2006,859,2019-10-28,2019-10-28
1382,ixb472,18,Nafta,2009,1065,2019-10-28,2019-10-28
1375,nbe323,29,Nafta,2008,1059,2019-10-28,2019-10-28
1279,jjf342,97,Diesel,2007,1061,2019-10-28,2019-10-28
1394,ibs893,60,Nafta,2009,1074,2019-10-28,2019-10-28
1376,ldw239,82,Nafta,2011,1060,2019-10-28,2019-10-28
1366,igy459,139,Nafta,2008,1,2019-10-28,2019-10-28
1367,fju981,29,Nafta,2005,1053,2019-10-28,2019-10-28
1349,hsz993,7,Diesel,2007,1044,2019-10-28,2019-10-28
1352,nci838,133,Nafta,2011,1046,2019-10-28,2019-10-28
1346,jfn876,21,Nafta,2010,1043,2019-10-28,2019-10-28
1372,sij879,140,Nafta,1995,606,2019-10-28,2019-10-28
1374,mne045,67,Nafta,2013,326,2019-10-28,2019-10-28
983,OJX748,26,Nafta,2014,1058,2019-10-28,2019-10-28
1377,oim374,26,Nafta,2013,1062,2019-10-28,2019-10-28
1355,jim108,88,Nafta,2009,889,2019-10-28,2019-10-28
1356,gmq197,14,Nafta,2004,1048,2019-10-28,2019-10-28
1373,mkk925,119,Nafta,2014,999,2019-10-28,2019-10-28
1357,piw323,45,Diesel,2016,43,2019-10-28,2019-10-28
1358,aa344ts,112,Nafta,2017,724,2019-10-28,2019-10-28
1361,iph643,34,Diesel,2008,1049,2019-10-28,2019-10-28
1354,ac792yt,137,Nafta,2017,219,2019-10-28,2019-10-28
1359,otj743,9,Nafta,2015,248,2019-10-28,2019-10-28
1362,njb827,51,Diesel,2014,1050,2019-10-28,2019-10-28
1363,hdw836,43,Diesel,2007,1051,2019-10-28,2019-10-28
1347,nwc041,117,Nafta,2013,1044,2019-10-28,2019-10-28
1348,fje250,29,Nafta,2006,368,2019-10-28,2019-10-28
1350,kju724,82,Nafta,2014,173,2019-10-28,2019-10-28
1360,jna197,33,Nafta,2008,948,2019-10-28,2019-10-28
1364,gsb793,138,Nafta,2008,195,2019-10-28,2019-10-28
986,JHV767,8,Nafta,2007,790,2019-10-28,2019-10-28
1369,dvu516,32,Nafta,2001,1055,2019-10-28,2019-10-28
1368,gdt582,23,Nafta,2009,1054,2019-10-28,2019-10-28
1327,obn381,27,Diesel,2013,1029,2019-10-28,2019-10-28
1330,ntz997,61,Nafta,2012,1032,2019-10-28,2019-10-28
1371,imr365,60,Nafta,2009,1056,2019-10-28,2019-10-28
1335,hye737,24,Nafta,2007,1037,2019-10-28,2019-10-28
1328,aa565ew,82,Nafta,2015,1030,2019-10-28,2019-10-28
1340,gwv491,6,Nafta,2003,1040,2019-10-28,2019-10-28
1370,kov896,100,Nafta,2011,922,2019-10-28,2019-10-28
1324,lmz946,34,Diesel,2013,1028,2019-10-28,2019-10-28
1319,mfr202,6,Nafta,2013,1024,2019-10-28,2019-10-28
1326,myx265,116,Nafta,2013,20,2019-10-28,2019-10-28
1336,lfx139,26,Nafta,2013,1038,2019-10-28,2019-10-28
1334,gum315,5,Diesel,2009,1036,2019-10-28,2019-10-28
1321,kwv368,29,Nafta,2011,1025,2019-10-28,2019-10-28
1333,gpm097,34,Diesel,2008,872,2019-10-28,2019-10-28
1331,lym646,27,Nafta,2015,1033,2019-10-28,2019-10-28
1332,ezl842,16,Diesel,2008,1034,2019-10-28,2019-10-28
561,fhf414,21,Nafta,2008,1015,2019-10-28,2019-10-28
1322,jkd177,7,Nafta,2014,1026,2019-10-28,2019-10-28
1341,gtx813,6,Nafta,2010,1041,2019-10-28,2019-10-28
1323,jgn252,65,Nafta,2017,1027,2019-10-28,2019-10-28
1309,aa131fa,60,Nafta,2016,1016,2019-10-28,2019-10-28
1342,lkp549,29,Nafta,2008,1042,2019-10-28,2019-10-28
1306,lmn040,131,Nafta,2015,1012,2019-10-28,2019-10-28
1304,mhn934,26,Nafta,2012,1010,2019-10-28,2019-10-28
1305,hcf197,47,Nafta,2010,1011,2019-10-28,2019-10-28
1329,jml655,29,Nafta,2013,1031,2019-10-28,2019-10-28
1338,aa136je,41,Nafta,2016,872,2019-10-28,2019-10-28
1307,fbt061,25,Nafta,2010,1013,2019-10-28,2019-10-28
1308,olj793,135,Nafta,2014,1014,2019-10-28,2019-10-28
1310,fca849,29,Nafta,2006,1017,2019-10-28,2019-10-28
1316,nic068,29,Nafta,2013,1021,2019-10-28,2019-10-28
1312,lfj066,21,Nafta,2012,47,2019-10-28,2019-10-28
1344,cgd428,61,Nafta,2013,1023,2019-10-28,2019-10-28
1318,lgd428,61,Nafta,2013,1023,2019-10-28,2019-10-28
1315,fqx369,7,Diesel,2005,1020,2019-10-28,2019-10-28
1311,hyv183,29,Nafta,2007,1018,2019-10-28,2019-10-28
1313,hfs481,60,Nafta,2008,916,2019-10-28,2019-10-28
1314,itx785,73,Nafta,2010,1019,2019-10-28,2019-10-28
1317,dqt004,45,Diesel,2001,1022,2019-10-28,2019-10-28
1034,GEQ032,21,Nafta,2007,1006,2019-10-28,2019-10-28
971,MAU481,82,Nafta,2010,1008,2019-10-28,2019-10-28
1301,nbe359,60,Nafta,2014,1007,2019-10-28,2019-10-28
1296,kcj137,29,Nafta,2013,1001,2019-10-28,2019-10-28
1295,lok861,17,Diesel,2012,1002,2019-10-28,2019-10-28
1303,edc742,96,Diesel,2006,1009,2019-10-28,2019-10-28
1298,pqq459,35,Nafta,2013,1004,2019-10-28,2019-10-28
1273,jhc738,114,Diesel,2011,984,2019-10-28,2019-10-28
1297,iry611,37,Nafta,2008,1003,2019-10-28,2019-10-28
1274,mho628,114,Diesel,2011,985,2019-10-28,2019-10-28
1276,lxx785,13,Nafta,2011,987,2019-10-28,2019-10-28
1275,kod798,9,Nafta,2013,872,2019-10-28,2019-10-28
1339,poa961,133,Nafta,2016,277,2019-10-28,2019-10-28
1272,npk040,51,Diesel,2015,142,2019-10-28,2019-10-28
1277,mxe184,26,Nafta,2011,988,2019-10-28,2019-10-28
1264,lgo174,8,Nafta,2010,263,2019-10-28,2019-10-28
1265,ogi451,127,Nafta,2014,977,2019-10-28,2019-10-28
1266,dce720,21,Nafta,2004,978,2019-10-28,2019-10-28
1269,olw034,70,Nafta,2014,83,2019-10-28,2019-10-28
1267,igk957,29,Nafta,2011,1005,2019-10-28,2019-10-28
1271,jyg182,114,Diesel,2013,983,2019-10-28,2019-10-28
1270,dzm052,36,Diesel,2005,256,2019-10-28,2019-10-28
